,0
0,"Amuse-Bouche Crispy Parmesan waffle with tomato and basil gelée, dish price of 15€, Four Seasons Hotel, Paris, restaurant L'Etoile d'Or with Chef Laurent Dupont, menu price of 250€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
1,"Appetizer Caramelized scallops with cauliflower purée and truffle essence, dish price of 40€, Four Seasons Hotel, Paris, restaurant L'Etoile d'Or with Chef Laurent Dupont, menu price of 250€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
2,"Soup Velvety butternut squash bisque with crème fraîche and sage croutons, dish price of 25€, Four Seasons Hotel, Paris, restaurant L'Etoile d'Or with Chef Laurent Dupont, menu price of 250€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
3,"Fish Pan-seared turbot with Jerusalem artichoke purée, morel mushrooms, and beurre blanc, dish price of 55€, Four Seasons Hotel, Paris, restaurant L'Etoile d'Or with Chef Laurent Dupont, menu price of 250€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
4,"Meat Roasted duck breast with figs, purple potatoes, and honey-thyme reduction, dish price of 60€, Four Seasons Hotel, Paris, restaurant L'Etoile d'Or with Chef Laurent Dupont, menu price of 250€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
5,"Cheese Selection of artisanal French cheeses with quince paste and walnut bread, dish price of 30€, Four Seasons Hotel, Paris, restaurant L'Etoile d'Or with Chef Laurent Dupont, menu price of 250€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
6,"Dessert Valrhona chocolate fondant with raspberry coulis and Tahitian vanilla ice cream, dish price of 25€, Four Seasons Hotel, Paris, restaurant L'Etoile d'Or with Chef Laurent Dupont, menu price of 250€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
7,"Sakizuke Seasonal appetizer with Kyoto vegetables, tofu, and yuzu miso, dish price of 20€, Four Seasons Hotel, Kyoto, restaurant Sakura No Hana with Chef Katsuro Tanaka, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
8,"Sashimi Assorted fresh sashimi selection served with house-made soy sauce and wasabi, dish price of 45€, Four Seasons Hotel, Kyoto, restaurant Sakura No Hana with Chef Katsuro Tanaka, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
9,"Nimono Simmered seasonal fish with daikon radish, ginger, and Kyoto miso, dish price of 40€, Four Seasons Hotel, Kyoto, restaurant Sakura No Hana with Chef Katsuro Tanaka, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
10,"Tempura Crispy tempura featuring seasonal vegetables and shrimp, served with matcha salt and tentsuyu sauce, dish price of 35€, Four Seasons Hotel, Kyoto, restaurant Sakura No Hana with Chef Katsuro Tanaka, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
11,"Yakimono Grilled Wagyu beef with shiitake mushrooms, asparagus, and a yuzu-kosho sauce, dish price of 65€, Four Seasons Hotel, Kyoto, restaurant Sakura No Hana with Chef Katsuro Tanaka, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
12,"Gohan Koshihikari rice cooked with seasonal ingredients, miso soup, and pickles, dish price of 30€, Four Seasons Hotel, Kyoto, restaurant Sakura No Hana with Chef Katsuro Tanaka, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
13,"Dessert Matcha mousse with azuki bean paste and yuzu sorbet, dish price of 20€, Four Seasons Hotel, Kyoto, restaurant Sakura No Hana with Chef Katsuro Tanaka, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
14,"Amuse-Bouche Balinese spiced tuna tartare on crispy cassava chip, dish price of 15€, Four Seasons Resort, Bali at Jimbaran Bay, restaurant Taman Sari with Chef Made Agus, menu price of 180€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
